Element Short Name,Type,Vocabulary,Code
PlatformDirection,Exact,MEDS PCODE,HEAD
PlatformModel,Exact,BUFR v4,B01085
PlatformSerialNumber,Exact,BUFR v4,B01086
PlatformSpeed,Exact,BUFR v4,B01013
PlatformSpeed,Exact,BUFR v4,B01014
PlatformSpeed,Exact,MEDS PCODE,SPDR
PracticalSalinity,Exact,WMO Codes,FM18-XII: Sn Sn Sn Sn
PracticalSalinity,Exact,WMO Codes,FM62-VIII: S0 S0 S0 S0
PracticalSalinity,Exact,WMO Codes,FM64-X: Sn Sn Sn Sn
PracticalSalinity,Exact,BUFR v4,B22062
PracticalSalinity,Exact,BUFR v4,B22064
PracticalSalinity,Exact,MEDS PCODE,SSPS
PracticalSalinity,Exact,MEDS PCODE,PSAL
PracticalSalinity,Exact,CF Standard Names,IADIHDIJ
PracticalSalinity,Broader,CF Standard Names,KFHXV8N9
PracticalSalinity,Broader,CF Standard Names,CFSN0331
PracticalSalinity,Narrower,CF Standard Names,Z13QZFM
Pressure,Exact,CF Standard Names,CFSN0330
Pressure,Exact,BUFR v4,B07065
Pressure,Narrower,CF Standard Names,CF12N583
Pressure,Narrower,CF Standard Names,CF12N584
Pressure,Narrower,CF Standard Names,CIEIIDJF
ProfileDirection,Exact,BUFR v4,B22056
ProfileDirection,Exact,MEDS PCODE,PDR%24
ProfileID,Exact,BUFR v4,B01079
ProfilerSerialNumber,Exact,BUFR v4,B02171
ProfilerSerialNumber,Exact,MEDS PCODE,SER1
Quality,Exact,WMO Codes,FM18-XII: Ql
Quality,Exact,WMO Codes,FM18-XII: Qt
Quality,Exact,WMO Codes,FM18-XII: Qd Qx
Quality,Exact,BUFR v4,B08080
RelativeHumidity,Exact,WMO Codes,FM18-XII: U U U
RelativeHumidity,Exact,BUFR v4,B13003
RelativeHumidity,Exact,MEDS PCODE,RELH
SeaDepth,Exact,WMO Codes,FM63-XI: Zd Zd Zd Zd
SeaDepth,Exact,WMO Codes,FM64-X: Zd Zd Zd Zd
SeaDepth,Exact,BUFR v4,B22063
SeaDepth,Exact,MEDS PCODE,BATH
SeaIceConcentration,Exact,BUFR v4,B20034
SensorDepth,Exact,BUFR v4,B07063
SensorDepth,Exact,MEDS PCODE,DEPH
SensorHeightAboveWater,Exact,WMO Codes,FM18-XII: Ah Ah Ah
SensorHeightAboveWater,Exact,BUFR v4,B07033
SensorHeightLocal,Exact,BUFR v4,B07032
SequenceNumber,Exact,BUFR v4,B01023
ShipLineNumber,Exact,BUFR v4,B01080
ShipTransectNumber,Exact,BUFR v4,B05036
ShortwaveRadiation,Exact,BUFR v4,B14004
SoftwareID,Exact,BUFR v4,B25061
SoundVelocity,Exact,MEDS PCODE,SVEL
SpectralWaveBandCount,Exact,BUFR v4,B22094
SpectralWaveBandWidth,Exact,BUFR v4,B22096
SpectralWaveDensity,Exact,BUFR v4,B22069
SpectralWaveDensityByFrequency,Exact,BUFR v4,B22104
SpectralWaveDensityRatio,Exact,BUFR v4,B22108
SpectralWaveDirDensityByFrequency,Exact,BUFR v4,B22106
SpectralWaveFourier1,Exact,BUFR v4,B22088
SpectralWaveFourier2,Exact,BUFR v4,B22089
SpectralWaveMaxDensityByFrequency,Exact,BUFR v4,B22082
SpectralWaveMaxDensityByFrequency,Exact,BUFR v4,B22102
SpectralWaveMaxWaveBand,Exact,BUFR v4,B22084
SpectralWavePeakPeriod,Exact,BUFR v4,B22071
StationHeight,Exact,BUFR v4,B07030
StationID,Exact,WMO Codes,FM62-VIII: D....D
StationID,Exact,WMO Codes,FM63-XI: D....D
StationID,Exact,WMO Codes,FM64-X: D....D
StationID,Exact,BUFR v4,B01011
StationID,Exact,MEDS PCODE,CCLL
StationName,Exact,BUFR v4,B01015
StationName,Exact,BUFR v4,B01019
StationName,Exact,MEDS PCODE,PLTN
StationName,Exact,MEDS PCODE,PNM1
StationName,Exact,MEDS PCODE,SHP%23
SubmergenceTime,Exact,BUFR v4,B02190
SurfaceType,Exact,BUFR v4,B08029
Temperature,Exact,WMO Codes,FM18-XII: Tw Tw Tw
Temperature,Exact,WMO Codes,FM18-XII: Tn Tn Tn Tn
Temperature,Exact,WMO Codes,FM62-VIII: sn Tw Tw Tw
Temperature,Exact,WMO Codes,FM63-XI: Tn Tn Tn
Temperature,Exact,WMO Codes,FM64-X: Tn Tn Tn Tn
Temperature,Exact,BUFR v4,B22042
Temperature,Exact,BUFR v4,B22043
Temperature,Exact,BUFR v4,B22045
Temperature,Exact,BUFR v4,B22049
Temperature,Exact,MEDS PCODE,TEMP
Temperature,Exact,MEDS PCODE,SSTP
Time,Exact,WMO Codes,FM18-XII: Y Y M M J + G G g g
Time,Exact,WMO Codes,FM62-VIII: Y Y M M J + G G g g
Time,Exact,WMO Codes,FM63-XI: Y Y M M J + G G g g
Time,Exact,WMO Codes,FM64-X: Y Y M M J + G G g g
Time,Exact,CF Standard Names,CFSN0115
Time,Narrower,BUFR v4,B04001
Time,Narrower,BUFR v4,B04002
Time,Narrower,BUFR v4,B04003
Time,Narrower,BUFR v4,B04004
Time,Narrower,BUFR v4,B04005
Time,Narrower,BUFR v4,B04006
Time,Narrower,BUFR v4,B04007
TimeOffset,Narrower,BUFR v4,B04021
TimeOffset,Narrower,BUFR v4,B04022
TimeOffset,Narrower,BUFR v4,B04023
TimeOffset,Narrower,BUFR v4,B04024
TimeOffset,Narrower,BUFR v4,B04025
TimeOffset,Narrower,BUFR v4,B04026
TotalPrecipitation,Exact,BUFR v4,B13011
TotalPrecipitation24Hour,Exact,BUFR v4,B13023
TransmitterID,Exact,BUFR v4,B01051
Uncertainty,Related,BUFR v4,B02005
WIGOSID,Narrower,BUFR v4,B01125
WIGOSID,Narrower,BUFR v4,B01126
WIGOSID,Narrower,BUFR v4,B01127
WIGOSID,Narrower,BUFR v4,B01128
WMOAgencyCode,Exact,BUFR v4,B01036
WMOAirPressureCharacteristic,Exact,BUFR v4,B10063
WMOAirPressureCharacteristic,Exact,MEDS PCODE,GPT%24
WMOAnemometerType,Exact,BUFR v4,B02169
WMOBuoyType,Exact,BUFR v4,B02036
WMOCurrentMeasurementDuration,Exact,WMO Codes,FM64-X: k3
WMOCurrentMeasurementDuration,Exact,BUFR v4,B02031
WMOCurrentMeasurementDuration,Exact,MEDS PCODE,GGEC
WMOCurrentMeasurementMethod,Exact,WMO Codes,FM63-XI: k5
WMOCurrentMeasurementMethod,Exact,BUFR v4,B02030
WMOCurrentMeasurementMethod,Exact,MEDS PCODE,GGCM
