Element Short Name,Type,Vocabulary,Code
WMOCurrentMeasurementDuration,Exact,BUFR v4,B02031
WMOCurrentMeasurementMethod,Exact,BUFR v4,B02030
WMOCurrentMeasurementMethod2,Exact,BUFR v4,B03010
WMODataBuoyType,Exact,BUFR v4,B02149
WMODataSystem,Exact,BUFR v4,B02148
WMODepthMethod,Exact,BUFR v4,B03011
WMODigitization,Exact,BUFR v4,B02032
WMODissolvedOxygenSensorType,Exact,BUFR v4,B03012
WMODrogueStatus,Exact,BUFR v4,B22060
WMODrogueType,Exact,BUFR v4,B02034
WMOID,Exact,BUFR v4,B01087
WMOID,Narrower,BUFR v4,B01001
WMOID,Narrower,BUFR v4,B01002
WMOID,Narrower,BUFR v4,B01003
WMOID,Narrower,BUFR v4,B01004
WMOID,Narrower,BUFR v4,B01005
WMOID,Narrower,BUFR v4,B01020
WMOPlatformMotionRemovalMethod,Exact,BUFR v4,B02040
WMOPlatformType,Exact,BUFR v4,B02045
WMOProfileInstrumentType,Exact,BUFR v4,B22067
WMOProfileRecorderType,Exact,BUFR v4,B22068
WMOQualityLocation,Exact,BUFR v4,B33023
WMOQualityLocationClass,Exact,BUFR v4,B33027
WMOQualitySatellite,Exact,BUFR v4,B33022
WMOSalinityDepthMeasurementMethod,Exact,BUFR v4,B02033
WMOSatelliteIdentifier,Exact,BUFR v4,B01007
WMOSpectralWaveMethod,Exact,BUFR v4,B02044
WMOStationType,Exact,BUFR v4,B02001
WMOTemperatureSalinityMeasurementMethod,Exact,BUFR v4,B02038
WMOTemperatureSalinityQualifier,Exact,BUFR v4,B08034
WMOWetBulbMeasurementMethod,Exact,BUFR v4,B02039
WMOWindInstrumentType,Exact,BUFR v4,B02002
WMOXBTType,Exact,BUFR v4,B22178
WaveAveragePeriod,Exact,BUFR v4,B22074
WaveDirection,Exact,BUFR v4,B22186
WaveDominantDirection,Exact,BUFR v4,B22076
WaveDominantSpread,Exact,BUFR v4,B22077
WaveHeight,Exact,BUFR v4,B22021
WaveMaximumHeight,Exact,BUFR v4,B22073
WaveMeanDirection,Exact,BUFR v4,B22086
WavePeriod,Exact,BUFR v4,B22011
WavePrincipalDirection,Exact,BUFR v4,B22087
WaveSamplingTime,Exact,BUFR v4,B25043
WaveSensor,Exact,BUFR v4,B02046
WaveSignificantHeight,Exact,BUFR v4,B22070
WaveSpread,Exact,BUFR v4,B22187
WetBulbTemperature,Exact,BUFR v4,B12102
WindDirection,Exact,BUFR v4,B11001
WindGustMaxDirection,Exact,BUFR v4,B11043
WindGustMaxSpeed,Exact,BUFR v4,B11041
WindSpeed,Exact,BUFR v4,B11002
XBTHeight,Exact,BUFR v4,B22177
